,Positive,Neutral,Negative
0,31,"Now Fu has admitted no viruses were detected in animal samples. He said they were found only in environmental samples, including sewage – before adding an intriguing aside that ‘the novel #coronavirus had existed long before’. #WuhanLab",6
1,Coronavirus Effect: De Beers Cuts Its Production Guidance for 2020 ,we are all the coronavirus now!!!!!!!!!!!!!!!!!!!!!!,"A total of 65 coronavirus patients die in Moscow in past day, overall death toll at 611 https://tass.com/world/1151635"
2,Russian Orthodox Church suspends protodeacon from service after critical remarks about archpriest who died from coronavirus ,Best Supplements To Take For Your Mental Health During Coronavirus Crisis : https://news.jobssopportunities.com/best-supplements-to-take-for-your-mental-health-during-coronavirus-crisis/,"Of course, the poor have little money, but there're lots of poor people over the world, and therefore the easiest way for “saving” the world economy and to emerge from of a crisis after of the coronavirus pandemic for the powers that be — is to start fleecing poor folk even more."
3,Russian university expels and evicts hundreds of students for refusing to leave their dorms during the coronavirus pandemic ," Important READ #Infection, #antibioticresistance #coronavirus #Covid_19 #AnimalAg #BigPharma",Russia on Wednesday extended an entry ban for foreigners to slow the coronavirus as the country registers a steep rise in the number of new infections 
4,"I have written new article on #Wikipedia ""Coronavirus disease COVID-19 in Russian nursing homes for the elderly and disabled"" but users say it needed to be deleted because no necessity of such articles and title too long. You may join to say ""keep"". https://en.wikipedia.org/wiki/Coronavirus_disease_COVID-19_in_Russian_nursing_homes_for_the_elderly_and_disabled",Coronavirus: BBC's biz charts [Feb-Apr 2019/20-GWD] visual guide to the worldwide economic impact ,“Over the past few weeks #PresidentPutin has mismanaged Russia’s responses to two major crises: the collapse of the oil market and the coronavirus pandemic. This jeopardizes his plan to change the constitution to allow him to serve two more terms.” 
5,#UK Govt: “We trust the British people to use their common sense to do their civic duty.” British people: “Hold our drinks.” #UKlockdown #Dorset #coronavirus #COVID19 #COVIDIDIOTS #COVIDIOTS,"I saw something on Twitter, Russian media focused only on Coronavirus and Minneapolis. What NATO said about it? In the end Turkey is a NATO member state.",">BREAKING: Chinese city of Wuhan reports 136 new cases of new type of coronavirus, raising total there to 198

Me: Marilyn Manson - Resident Evil Main Title Theme (Corp. Umbrella).mp3"
6,"There is so much going on right now and I don’t know where to look, my timeline has got drag race dramas, riots and protests, NASA, coronavirus and of course #BlackLivesMatter ",keep your throat moist #zombievirus #China #coronavirus ,is the coronavirus killing people or is it just making them sick for now because i feel bad joking about it if its like cancer or something
7,Coronavirus cases surpass 6 mln globally https://tass.com/society/1162201,First case of new coronavirus in Moscow not confirmed — authorities: https://tass.com/world/1114893 © Taisiya Vorontsova/TASS,this corona virus shit is genuinely frightening.
8,"Actually I have a flu, but I am on medication and I got my 3rd injection yesterday :) I'm tested negative for any corona virus infection, and my xray was clear, so they gave me medications appropriate for flu :)","""There are now 98 #2019nCoV cases in 18 countries outside #China, including 8 cases of human-to-human transmission in four countries: #Germany #Japan, #VietNam and the #UnitedStates “ #WuhanCoronavirus #WuhanVirus #Pneumonia #CoronaVirus #Wuhan #WuhanSARS #WuhanPneumonia",@DrinkofAgesPub come watch stupid idiot tonight at 8pm or i will sneeze  coronavirus down your throat tonight.
9,"Health experts predict that the coronavirus outbreak that originated in China will reach Russia in February
https://www.themoscowtimes.com/2020/01/29/how-is-russia-preparing-for-the-coronavirus-a69079 …",+ coronavirus is around,Hainan cuts emergency response level amid coronavirus outbreak https://www.russianinsight.com/hainan-cuts-emergency-response-level-amid-coronavirus-outbreak/ …
10,Looks like there's something dodgy about the coronavirus after all. https://twitter.com/BBCNews/status/1226218121977114624 …,Covid19 ≠ covefefe,'Pelosi is incompetent': @realDonaldTrump says speaker 'trying to create a panic' by attacking his coronavirus knowledge https://washex.am/386g4Y2 
11,Are you worried about purchasing an iPhone? They’re made in China. #apple #coronavirus,Belarus got one #COVID19 patient. He went home from #Iran,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
