,Positive,Neutral,Negative
0,116,Dogs are being trained to sniff out coronavirus cases - SFGate ,80
1,But we CAN see the Coronavirus with all our fancy science and microscopes and such... ,Facebook Live Townhalls this Thursday and Friday @BuffyWicks @AsmBuffyWicks @CoCoHealth @CCCounty #COVID19 #coronavirus https://conta.cc/2Sn62Nj,The fact that coronavirus tests are STILL being rationed in the wealthiest country on Earth is a total failure of government. 
2,Just Spit and Wait: New Coronavirus Test Offers Advantages http://dlvr.it/RVjnfy,Germany’s #COVID19 Infection Rate Increases after Easing Lockdown Restrictions. #Coronavirus #StayHome #FlattenTheCurve #StayHomeSaveLives,"New York Post Publisher Tells Staff That Business Is ‘Drastically Destroyed’ by Coronavirus, Announces Layoffs Bye Bye. "
3,"""Coronavirus: US top infectious disease doctor says drug trial shows 'quite good news'"" #Coronavirus ","Same with two of my friends. My daughter didn't have half the severe symptoms as my friends did, but she lives in another state and got tested right away. She was positive for Coronavirus, but survived."," ""This is how science actually works. It’s less the parade of decisive blockbuster discoveries that the press often portrays, and more a slow erratic stumble toward ever less uncertainty"" from ""Why the Coronavirus Is So Confusing"" @edyong209 @TheAtlantic https://www.theatlantic.com/health/archive/2020/04/pandemic-confusing-uncertainty/610819/"
4,Trump wants FDA to move 'as quickly as they can' on remdesivir coronavirus approval - ,Coronavirus update: Hopes build over Gilead drug as global case count grows #update #build #over Click link to read more https://www.sinvole.com/pulse?id=2097&amp;article=coronavirus-update-hopes-build-over-gilead-drug-as-global-case-count-grows,We don’t need Carnac the Magnificent A fool in the WH is predicting the coronavirus virus is “going to go away”. 
5,"Dear @jaredkushner, is my grandmother who passed away last night due to the Coronavirus a part of your success story? ","Coronavirus in the Bay Area: Nearly 8,000 cases reported | KRON4 ",Gun Makers Produce Masks for First Responders amid Coronavirus Crisis https://www.breitbart.com/2nd-amendment/2020/04/29/gun-manufacturers-producing-masks-for-first-responders-during-coronavirus-crisis/ via @BreitbartNews
6,Study: Majority of Americans Don‘t Want or Can‘t Use Google and Apple‘s Coronavirus Tracing App https://www.breitbart.com/tech/2020/04/29/study-majority-of-americans-dont-want-or-cant-use-google-and-apples-coronavirus-tracing-app/ via @BreitbartNews No free citizen should EVER use such a 1984 NWO tracking device!!!,"NASA, SpaceX Launch American Astronauts Into Space, First Time Since 2011 https://link.theepochtimes.com/mkt_app/nasa-spacex-launch-historic-rocket-in-first-liftoff-from-us-soil-in-nine-years_3370540.html Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:",China's global growth in jeopardy as Beijing blasts allies amid coronavirus crisis https://fxn.ws/2KJP8UX #FoxNews
7,"China could have 50 times more coronavirus cases than claimed, Trump administration official says https://fxn.ws/2Y9XCMY #FoxNews . . . not counting the 18,300,000 people who disappeared last month . . .","Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews ""WASHINGTON — The U.S. Supreme Court late Friday rejected a California church's request to ease restrictions on attendance at worship services""",Corona virus is not a joke 
8,"Heartening to see how an oath of profession, to wit, the hippocratic oath inspires practitioners to do the best for profession, country and humanity. #coronawarriors exemplary in #coronavirus crisis. #covid19warriors",Reopening the Bay Area: Full List of Counties Easing Coronavirus Restrictions ,"from NBC News ""Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services A California church had argued that putting a limit on crowd size violates constitutional guarantees of religious freedom.""+"" https://twitter.com/ShimonCoen/status/1266853666633379840"
9,Trump Caught On Hot Mic Before Coronavirus Address | NowThis https://youtu.be/vBxH26n6i3g via @YouTube,He can’t stop anything. He couldn’t do it with Coronavirus. #IncompetentFool #WeNeedANewPresident,"Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews """"Although California’s guidelines place restrictions on places of worship, those restrictions appear consistent with the free exercise clause"""
10,All this rioting is gonna lead to martial law and more people with #coronavirus,"Get ready everyone #SheekooyinkaKorona episode 2 will be up tomorrow Sunday 31st May, 2020 8pm #Somalia time. Communication strategist @KalsonAbdi is our guest. In this episode we will discuss her #CoronaVirus experience, our health system and #Covid19 stigma among our people.","Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews ""Chief Justice John Roberts joined the court's four liberals in an unsigned order that denied the church's application for a stay of the"""
11,"Or the $could be used to fight coronavirus!! New era of spaceflight dawns, as SpaceX sends NASA astronauts into orbit ",Has corona ended up or yet? Haven't seen nowdays people who are disseminating the news and impacts of coronavirus!! Or is it only my eyes? ,Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews
12,Interesting question. My assumption would be that it is more likely to spurn existing users to engage more often rather than push new users onto a platform. For something like COVID19 the sx can be so non-specific that I’d imagine folks would go to a hospital either way.,CDC suggests coronavirus started spreading in the U.S. in January - CBS Evening News https://www.youtube.com/watch?v=3IVfdPYV3e0 via @GoogleNews,How did Vietnam manage to avoid even one coronavirus death? https://nypost.com/2020/05/30/how-did-vietnam-manage-to-avoid-even-one-coronavirus-death/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost
13,Sequence from the Illinois 2019-nCoV case now available on GenBank: https://www.ncbi.nlm.nih.gov/nuccore/MN988713 … #coronavirus #opendata,"|| Coronavirus doesn’t have a vaccine at the moment, at least not that I’m aware of.",why is the news worried about the coronavirus
14,"Could be anything...looks like the #coronavirus didn't start an outright panic (apparently a patient has been ""cured"" in China), so something else is prolly in the wings...my gut is that [they'll] prolly attempt a market destabilization...","Fucc the coronavirus I got the twittervirus, nigga be fiending for a retweet ","The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/Jr5VEVN"
15,"It’s a film only worth seeing if you like brilliant writing, cast, acting, directing etc. otherwise I advise you to avoid it like the coronavirus.",Gauging The Coronavirus Effect On Supply Chains — And The Last Mile ,You have corona virus shut up 
16,"an immutable memorial to Li Wenliang (the coronavirus whistleblower in Wuhan) now lives on Ethereum.
blockchain win: smart contracts cannot be censored. 
https://www.coindesk.com/chinas-coronavirus-whistleblower-is-now-memorialized-on-ethereum …pic.twitter.com/45k694sXVD",First person-to-person case of coronavirus confirmed in the US https://mol.im/a/7948679 @MailOnline,City turned ghost town: Take a look inside sealed-off Wuhan amid coronavirus outbreak in China 
17,annnnnnnd this is how things like the Coronavirus get started because Humans can't leave well enough alone. ,Coronavirus vaccine research is moving at record speed ,"Correct me if i’m wrong,but this all started bc someone over there ate a or a ? Thats what I heard, but wanna make sure... Coronavirus is an international ‘public health emergency,' WHO says "
18,Good Samaritan Hospital in San Jose says a male patient confirmed last week to have novel coronavirus visited the E.R. Jan. 28. Wearing a mask. SCCO  Public Health has directed 5 employees to self isolate at home til Feb.11. There are two confirmed cases in Santa Clara Co. pic.twitter.com/liCQvbjXuX,Is it so wrong that every time I see #coronavirus the inside of my brain looks like this? ,what if the coronavirus is the 0.1% of bacteria hand sanitizer couldn’t kill
19,Banks Offer Economic Coronavirus Relief To Businesses http://dlvr.it/RQ3v9S pic.twitter.com/QDmXnptJ9i,"Northern California now has two #coronavirus #Covid19 cases believed to have been caused by community spread, in counties 90 miles apart. ",World Health Organization Declares Global Health Emergency Amid Coronavirus Outbreak 
20,"Well trump may be right. Fears are disproportionate just like 9/11. Normal flu killed more ppl than coronavirus.

https://www.usnews.com/news/health-news/articles/2020-02-21/flu-season-thats-sickened-26-million-may-be-at-its-peak …","The World Health Organization has stated that there are more than 20 vaccines in development. Some of these have been aiming for a summer deadline, #COVID19 #Coronavirus",This whole corona virus is a set up. THEY ALL WANT US GONE 
21,Trump’s fury over coronavirus patients being repatriated may be justified https://www.ilwareed.info/en/news/trumps-fury-over-coronavirus-patients-being-repatriated-may-be-justified/2020/ …pic.twitter.com/F6RGFbeE5B,Ebola is only infectious during symptomatic stage and during symptomatic stage people are bed ridden unlike covid19 where people are highly infectious while asymptomatic some having no symptoms.. that is why you should be worried about it because it can spread fast.,Coronavirus is emerging public health problem that widely spreading in the world. @WHO&amp; health authorities has to but in place better prevention measures and to uplift risk measurement of the virus. Now it's pandemic and governments with weak health care system needs empowerment
22,RT @farhanjimale: Staff seen here at the national #coronavirus disease call centre in #Mogadishu where they supervise calls to a free hotli…,"Novel Coronavirus 2019 Situation Summary, Wuhan, China | CDC https://www.cdc.gov/coronavirus/2019-ncov/summary.html … via @CDCgov"," #Tipoftheday in #Pneumologia: 
The Wuhan #nCoV #pneumonia outbreak quadruples, spreads within #China # http://ow.ly/NWK030qaECG  via @cidrap #coronavirus #pneumologistahttps://lnkd.in/dJUJEz8 "
