,Positive,Negative
0,763,298
1,Helping a friend's business. We all need masks right? They have to be fashionable too...Try these.... #hygiene #coronavirus #masks #lockdown #stayhome https://www.instagram.com/p/B_lWGu2JmW7/?igshid=1k0v4xwatg4dy,Sure he's a great guy but Coronavirus stats all day is bound to leave you a bit... isolated
2,"We need government to work on this coronavirus,b cause since they can locked people for house without food I hope they will treat the country as well",SNP separatists restrict contain coronavirus within Scottish Borders they were not prepared for this crisis trying to be one step ahead against Westminster timetable to end lockdown but SNP proceeding in separate plans end lockdown on their own timetable 
3,"Small Business Supports in the Coronavirus Aid, Relief, and Economic Security (CARES) Act http://upflow.co/l/0fHI",Working from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23cigarettes&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #cigarettes
4,Top US health official expresses optimism over experimental drug to fight coronavirus https://www.sabcnews.com/sabcnews/top-us-health-official-expresses-optimism-over-experimental-drug-to-fight-coronavirus/,"If I tell Corona virus that I love it , will it leave too?"
5,"The reason I am against gov banning alcohol is my drinking of red wine isn't going to spread corona virus. Don't tell me it's not good for my immune system, there are a lot of things we get in shops that aren't good for our immune systems. So phuleeeeez. #Level4Restrictions",But poverty has been with Blacks even boefore covid19 or did it have to take coronavirus in order for you to have a heart? Did you all along think in Alexander lives the rich?
6,#COVID19 Get your own protective shield and mask for you and your family today!!! Click below for orders and prices: https://mbpublishers.com/covid19/ #Masks #Coronavirus #COVID19 #Shiels #Protection #Children #School #Toddlers #Family #Health #StaySafe,I agree. Fauci needs fired Fauci: Coronavirus not a major threat and Americans don’t need to worry. This guy still has credibility? 
7,"About today #ootd I got to do what I love the most - dressing up, putting on makeup, wearing heels and just feeling on top of the world. #southafrica #lockdown #covid19 #stayhome #coronavirus #dressup #realqueensstayathome #mrsjohannesburg2019",Coronavirus: Germany's rate of COVID-19 infections grows after lockdown eased 
8,"Wherever these Comrades are going, they must see if they can not find a cure or etleast a Vaccine for Corona Virus. . Maybe a Vaccine is somewhere there in the moon and we are not aware , we support them. President Trump . ",Get the latest Coronavirus stats with @media_hack's visual tracker https://mediahack.co.za/datastories/coronavirus/
9,"I’m busy playing FIFA in my room, and my mom walks in with a plate of chopped onions and she’s like “here put this in your room, it’ll help protect you from getting coronavirus” ",#Coronavirus: Statistics 
10,"What’s going to happen to that alcohol? If you guys are smart, you’re going to sell it to other distributors and take that cash donate it to the #coronavirus relief or better, to help the community in which that store is located.!",Damn...What's Corona virus? 
11,Pssst those who work in the Health Sector do you honestly believe the NHS could effectively cope with COVID19 if it is declared as a pandemic?,evidence smoking may cut the risk of coronavirus: Review of 28 studies shows number of smokers among hospitalised patients is 'lower than expected' as expert admits the mounting findings are 'weird' https://www.dailymail.co.uk/news/article-8264635/More-proof-smokers-risk-catching-coronavirus-expert-admits-weird.html @DlaminiZuma @CyrilRamaphosa @DrZweliMkhize DICTATORS!!
12,"Regarding covid19, it's worth noting that it would be much easier to tackle this if everyone had access to healthcare. Ppl that don't will be unwittingly spreading the virus. Also, it'd be good if everyone had sick leave so that ppl aren't going to work sick &amp; infecting ppl.",They are dying at home as well that's why China had to update the number of people died from Corona virus
13,"One thing seems clear, though: this is a coronavirus, which can spread through the air(same family as the flu), rather than a filovirus like ebolaviridae which can't, so in a busy city like Wuhan in the middle of China, things could move faster than HK.",COVID stands for Corona virus disease
