,Positive,Negative
0,2,26
1,Our engagements are professional as much as they are personal. It is our attempt to contribute in whatever way we can to the collective fight against coronavirus. A well thought article. Congrats Kaka @Udadisi,"This booklet is made up of three articles on how China identified the novel coronavirus and then how the Chinese government and Chinese society fought against its wider diffusion. Just want you wanted to read, go ahead! "
2,Coronavirus: Biden and Trump face off over China ,Coronavirus in South Africa: Eight lessons for the rest of the continent 
3,Coronavirus: Belgium Prince Joachim tests positive after lockdown party ,"COVID-19 Updates (globally) Total cases: 6,149,436 Dead: 370,494 Recovered: 2,729,859 Last updated: May 30, 2020, 23:28 GMT #covid19 #COVIDー19 #coronavirus "
4,"When facing the large amount of information and news, we should calm down and try to think critically. https://youtu.be/ZvXwqPbYgGo #Wuhan #WuhanCoronovirus #coronavirus #COVID19 @ElkanaCK @Nyandarobert @nancydamas2 @DicksonRMushi @sollaeliafile @masakarose @KanenoJovina","COVID-19 Updates (globally) Total cases: 6,144,968 Dead: 370,413 Recovered: 2,726,918 Last updated: May 30, 2020, 22:28 GMT #covid19 #COVIDー19 #coronavirus "
5,"RT @brexit_sham: Astounding footage of @BorisJohnson 'cramming covid' on his return from a two week Kent jolly with Carrie Symonds. 

Crimi…","COVID-19 Updates (globally) Total cases: 6,115,303 Dead: 369,567 Recovered: 2,712,831 Last updated: May 30, 2020, 21:58 GMT #covid19 #COVIDー19 #coronavirus "
6,RT @badrujumah: Good hygiene — including handwashing with clean water — is the first line of defense against #COVID19 and other viral disea…,Coronavirus: Shielders in England allowed outdoors again from Monday 
7,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…","COVID-19 Updates (globally) Total cases: 6,114,630 Dead: 369,523 Recovered: 2,712,453 Last updated: May 30, 2020, 21:27 GMT #covid19 #COVIDー19 #coronavirus "
8,RT @ANI: A 4-month-old boy has recovered from #COVID19. He was admitted with severe respiratory illness. It gives us immense pleasure that…,Fake news is real corona virus.
9,"RT @WHOAFRO: Over 222,000 confirmed #COVID19 cases on the African continent - with more than 101,000 recoveries &amp; 6,000 deaths. View countr…","COVID-19 Updates (globally) Total cases: 6,111,797 Dead: 369,393 Recovered: 2,712,283 Last updated: May 30, 2020, 20:57 GMT #covid19 #COVIDー19 #coronavirus "
