,Positive,Neutral,Negative
0,71,new #coronavirus tweets stacking up at same pace as #randpaul tweets but one is trendiing at #1 and the other isn't even on the list... #twitter #coverup,56
1,Oh wow #coronavirus ,"The scariest statistic that I saw was that the U.S. [as of 2 days ago] has only tested 445 people for #coronavirus and South Korea tested 66,000+ — you see how many cases they have confirmed ... once we start testing more ... #YouDoTheMath ... https://nymag.com/intelligencer/2020/02/why-has-the-us-cdc-done-so-little-coronavirus-testing.html #Covid19",A timeline of Trump's 100 days of deadly coronavirus denial - Mother Jones https://nzzl.us/ymoXaX8 via @nuzzel thanks @russchoma
2,Woman who recovered from #coronavirus tests positive for it again in #Japan https://nypost.com/2020/02/27/woman-who-recovered-from-coronavirus-tests-positive-for-it-again-in-japan/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost #covid19 #covid19japan #coronavirusjapan #CoronaVirusUpdates #Coronavirusourtbreak,A second case of #coronavirus found through spread in #California http://a.msn.com/01/en-us/BB10xkEi?ocid=st #CoronaVirusUpdates #CoronavirusOutbreak #coronaviruscalifornia #covid19 #covid19california,"After aggressive mass testing, Vietnam says it contains coronavirus outbreak "
3,Coronavirus: Recovered patients testing positive again - BBC News https://youtu.be/3-wf3Nb8tzI via @YouTube #coronavirus #covid19 #coronavirusoutbreak #CoronaVirusUpdates,"Google, Microsoft to step up production in Vietnam amid Covid-19 #Vietnam #Microsoft #China #Apple #Iphone #Covid19 #coronavirus #ncov http://hanoitimes.vn/google-microsoft-to-step-up-production-in-vietnam-amid-covid-19-311187.html","China continues to pose a threat to the world by hiding information about the origin of the coronavirus, U.S. Secretary of State Mike Pompeo says. https://www.bloomberg.com/news/articles/2020-04-29/pompeo-says-china-responsible-for-outbreak-must-detail-origin via @bpolitics"
4,more coronavirus i guarantee you,"High school students in 23 Vietnamese provinces will return to school next Monday, while younger kids will stay home for another week or two. https://vietnamnews.vn/society/652872/some-high-schools-universities-to-open-on-monday.html #Vietnam #coronavirus #COVID19 #school #education","COVID-19 caused strokes in young people who had mild coronavirus symptoms, NYC doctors say https://www.usatoday.com/story/news/health/2020/04/29/coronavirus-covid-19-caused-strokes-young-patients-nyc-doctors/3046447001/ via @usatoday"
5,USD/JPY: Bears dominate near 108.30 as coronavirus remain in headlines https://ift.tt/38Z9FyI ,"Promed Post – ProMED-mail 
Undiagnosed pneumonia - China (HU) (07): official confirmation of novel coronavirus
http://www.promedmail.org/post/6878869 ",Opinion: Coronavirus panic shows how little China has learned since SARs #WuhanCoronavirus #publichealth
6,USD/JPY: Bears dominate near 108.30 as coronavirus remain in headlines https://ift.tt/37RFQ2N ,"The desease may transmit from person to person.
#coronavirus
https://www.telegraph.co.uk/global-health/science-and-disease/refuses-rule-human-to-human-spread-chinas-mystery-virus-outbreak/ …",#coronavirus emergency 
7,USD/JPY: Bears dominate near 108.30 as coronavirus remain in headlines https://ift.tt/2tmwEVg ,Novel Coronavirus – Thailand (ex-China) http://www.who.int/csr/don/14-january-2020-novel-coronavirus-thailand-ex-china/en/ … #thailand,"What it means for coronavirus outbreak to be at the WHO's ""highest level of alert"" https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-28-20-intl-hnk/h_27a7eeed180e54e7ff3f59f4db825053 #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19"
8,"Building #empathy for students: PD today @UNIS_Hanoi will be a synchronous Distance Learning activity for MSHS teachers. How do we identify, highlight & implement effective Distance Learning practices? What is S feedback telling us is working/not working? #coronavirus #closurepic.twitter.com/GqShlMKJ5J",Thailand reports case of coronavirus from China https://news.mb.com.ph/2020/01/14/thailand-reports-case-of-coronavirus-from-china …,There are now 821 coronavirus cases in Italy https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-28-20-intl-hnk/h_92bf7cd7acc4ed0b8cdd53b6043bb00f #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19
9,Apple says will not meet revenue guidance for March quarter due to impact of coronavirus https://vietnaminsider.vn/apple-says-will-not-meet-revenue-guidance-for-march-quarter-due-to-impact-of-coronavirus/ …pic.twitter.com/WRuZRik4nN,Vietnam isolates two Chinese visitors due to the new coronavirus https://vietnaminsider.vn/vietnam-isolates-two-chinese-visitors-due-to-the-new-coronavirus/ …pic.twitter.com/beX9eZQLcf,European stocks fall another 4.2% and sink further into correction territory as coronavirus grips markets https://www.cnbc.com/2020/02/28/europe-markets-coronavirus-hammers-global-stocks.html?__source=sharebar|twitter&amp;par=sharebar #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19
