,Positive,Negative
0,20,21
1,"Go and Stream Planet O5 Cypher ,DM ur feedback ..I thank u for ur support #hihop #drake #trap #beats #rap #musicproducer #flstudiogang #zimbabwe #lockdown2020 #covid19 #coronavirus #zimhiphop @ZiFMStereo… https://www.instagram.com/p/B_lYA3npc1h/?igshid=14qqr6lznagrx",Bloody hell ! The woman asking the Corona virus question #bbcqt
2,South Africa records biggest daily rise in coronavirus cases South Africa is due to start on May 1 to gradually ease its strict lockdown regulations ,I think planes bringing Nationals home of likely infected/exposed people from the epicentre of Wuhan who will be at their most infectious/shedding before any symptoms show are what is going to spread the virus around the world. Evacuated too late in my opinion #coronavirus
3,"#BREAKING Ministry of Health announces biggest daily jump in coronavirus cases - 8, bringing national total to 40 ",This is the most inhumane and insensitive statement I have ever read in my lifetime. It only confirms allegations and conspiracies that the #coronavirus is a biological warfare disease. This speaks a lot about Trumps Administration. #CoronavirusOutbreak
4,"NEW: Saudi Arabia reports 1,325 new cases of coronavirus, 21,402 in total. Saudi Arabia's largest daily increase so far.","@WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan @IranNewsNow https://www.cdc.gov/coronavirus/about-me/index.html …
Coronavirus | About | @CDCgov @cdcatla https://twitter.com/timothy_j7/status/1182295088686403584 …
Ronald Timothy Jones Sr @interior on Twitter: ""https://t.co  ...

https://twitter.com/i/events/1217928133917044736 …"
5,"Coronavirus update, Middle East: - Turkey: 2,936 new cases - Saudi: 1,325 new cases - Iran: 1,073 new cases - Qatar: 643 new cases - UAE: 549 new cases - Kuwait: 300 new cases - Oman: 143 new cases - Iraq: 75 new cases - Bahrain: 58 new cases - Israel: 54 new cases","In total, 41 people in Wuhan have been diagnosed with a novel coronavirus, a family of viruses that can cause both the common cold and more severe diseases like SARS and MERS. https://www.nbcnews.com/news/world/china-reports-second-death-mystery-coronavirus-n1117631 …"
6,"Zimra officer tests positive for coronavirus in Bulawayo, tax collector announces Staffer 'interacted' with infected individual on March 18, and had been sent home to self-isolate from March 27 to April 26 ","Hi Garry, are you still coming to the UK with the travel restrictions coz of coronavirus issue at the moment?"
7,"Coronavirus: why South #Africa needs a wealth tax now Aroop Chatterjee, University of the Witwatersrand; Amory Gethin, and Léo Czajka The consequences of the COVID-19 lockdown are yet to be fully determined and understoo... https://www.263chat.com/coronavirus-why-south-africa-needs-a-wealth-tax-now/ via @263Chat #Zimbabwe #263Chat","RT @Mamoxn: The govt of Zimbabwe🇿🇼 will not,
On their own volition,
Stop:
Abducting
Torturing,
Raping,
&amp;Killing us.
They will not voluntari…"
8,and this basis of the withdrawal is a complete lie Coronavirus: What are President Trump's charges against the WHO? https://www.bbc.co.uk/news/world-us-canada-52294623,"RT @antonioguterres: People with albinism continue to be the target of stigma, discrimination &amp; violence - including amid #COVID19.

The UN…"
9,"260 reports of coronavirus-related TV Licensing emails so far this month claiming recipient's direct debit has failed and need to pay to avoid prosecution but they are eligible for a ""COVID19 Personalized Offer"" of six months free. #scams #emails https://www.actionfraud.police.uk/news/260-reports-of-coronavirus-related-tv-licensing-emails-so-far-this-month",@SAFoundationN and @SAfridiOfficial has done so much for the needy since day one of the virus and has been hands on… https://t.co/WstEbmwiD2
10,#AskRishi Will those left stranded in #ForgottenLtd and #ExcludedUK also be 'forgotten' and 'excluded' when the time comes for tax hikes to repay the coronavirus govt borrowing? ,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
