,country,0,negative,positive,neutral,negative_n,positive_n,neutral_n
0,albania,4,0.0,4.0,0.0,0.0,1.0,0.0
1,algeria,1,0.0,1.0,0.0,0.0,1.0,0.0
2,american samoa,1,0.0,1.0,0.0,0.0,1.0,0.0
3,andorra,49,12.0,32.0,5.0,0.24489795918367346,0.6530612244897959,0.10204081632653061
4,angola,3,0.0,3.0,0.0,0.0,1.0,0.0
5,anguilla,2,0.0,1.0,1.0,0.0,0.5,0.5
6,antigua and barbuda,1,0.0,0.0,1.0,0.0,0.0,1.0
7,argentina,69,10.0,39.0,20.0,0.14492753623188406,0.5652173913043478,0.2898550724637681
8,armenia,3,0.0,3.0,0.0,0.0,1.0,0.0
9,australia,984,153.0,588.0,243.0,0.15548780487804878,0.5975609756097561,0.24695121951219512
10,austria,43,7.0,19.0,17.0,0.16279069767441862,0.4418604651162791,0.3953488372093023
11,azerbaijan,3,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666
12,bahamas,1,0.0,0.0,1.0,0.0,0.0,1.0
13,bahrain,3,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666
14,bangladesh,42,0.0,40.0,2.0,0.0,0.9523809523809523,0.047619047619047616
15,barbados,4,0.0,4.0,0.0,0.0,1.0,0.0
16,belarus,17,8.0,6.0,3.0,0.47058823529411764,0.35294117647058826,0.17647058823529413
17,belgium,42,7.0,21.0,14.0,0.16666666666666666,0.5,0.3333333333333333
18,benin,1,1.0,0.0,0.0,1.0,0.0,0.0
19,bermuda,15,1.0,9.0,5.0,0.06666666666666667,0.6,0.3333333333333333
20,bolivia,7,2.0,2.0,3.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
21,botswana,59,8.0,37.0,14.0,0.13559322033898305,0.6271186440677966,0.23728813559322035
22,brazil,248,39.0,162.0,47.0,0.15725806451612903,0.6532258064516129,0.18951612903225806
23,brunei,2,0.0,0.0,2.0,0.0,0.0,1.0
24,bulgaria,6,1.0,3.0,2.0,0.16666666666666666,0.5,0.3333333333333333
