,positive,negative
afghanistan,8,10
albania,54,62
algeria,1,14
american samoa,0,1
andorra,4,1
angola,3,1
anguilla,1,0
antigua and barbuda,1,3
argentina,122,201
armenia,5,6
aruba,1,2
australia,859,1887
austria,27,26
azerbaijan,106,222
bahamas,11,5
bahrain,8,13
bangladesh,78,38
barbados,3,9
belarus,2,1
belgium,94,125
belize,1,7
benin,1,2
bermuda,16,18
bhutan,1,2
bolivia,13,4
bosnia and herzegovina,5,2
botswana,94,154
brazil,196,59
british virgin islands,2,1
brunei,1,1
bulgaria,27,17
burkina faso,30,11
burundi,2,2
cambodia,1,9
cameroon,179,292
canada,2635,5072
cape verde,3,3
cayman islands,39,117
central african republic,4,20
chad,1,0
chile,77,129
china,286,127
christmas island,1,2
colombia,156,248
cook islands,1,1
costa rica,27,39
croatia,2,4
cuba,6,12
curacao,1,0
cyprus,10,6
czech republic,22,5
democratic republic of the congo,4,1
denmark,20,51
djibouti,4,1
dominica,0,1
dominican republic,10,11
east timor,2,2
ecuador,9,27
egypt,72,26
el salvador,3,6
equatorial guinea,4,1
eritrea,1,3
estonia,9,12
ethiopia,24,6
falkland islands,1,2
faroe islands,1,2
fiji,75,144
finland,41,12
france,268,77
french polynesia,0,1
gabon,202,398
gambia,5,1
georgia,27,42
germany,296,93
ghana,277,470
gibraltar,2,1
greece,15,48
greenland,1,2
grenada,1,2
guadeloupe,1,0
guam,2,5
guatemala,10,4
guernsey,3,1
guinea,1,1
guinea-bissau,1,0
guyana,5,1
haiti,1,4
honduras,7,4
hong kong,74,250
hungary,12,17
iceland,21,8
india,1837,1706
indonesia,193,64
iran,9,25
iraq,8,16
ireland,237,352
isle of man,4,3
israel,556,170
italy,103,163
ivory coast,6,5
jamaica,83,140
japan,141,404
jersey,3,12
jordan,6,15
kazakhstan,1,2
kenya,122,174
kosovo,0,1
kuwait,20,8
kyrgyzstan,3,1
latvia,4,5
lebanon,38,7
lesotho,1,2
liberia,27,62
libya,4,3
liechtenstein,3,2
lithuania,4,9
luxembourg,5,7
macao,66,149
macedonia,1,2
madagascar,1,1
malawi,10,4
malaysia,77,175
maldives,15,22
mali,52,103
malta,26,20
marshall islands,1,0
martinique,1,0
mexico,57,111
micronesia,1,0
moldova,2,1
monaco,5,5
mongolia,71,121
montenegro,13,21
montserrat,21,22
morocco,240,350
mozambique,2,2
myanmar,1,5
namibia,7,3
nepal,34,43
netherlands,97,164
new caledonia,150,268
new zealand,102,257
nicaragua,8,4
niger,57,17
nigeria,424,721
norfolk island,2,1
north korea,2,3
northern mariana islands,1,1
norway,29,62
oman,11,8
pakistan,620,247
palau,2,1
palestinian territory,4,1
panama,233,410
papua new guinea,5,14
paraguay,4,3
peru,55,18
philippines,171,483
pitcairn,0,1
poland,20,30
portugal,32,57
puerto rico,16,33
qatar,29,28
republic of the congo,3,1
reunion,1,0
romania,8,21
russia,40,15
rwanda,12,11
saint helena,1,3
saint kitts and nevis,1,2
saint lucia,1,7
saint vincent and the grenadines,4,2
samoa,1,4
san marino,1,2
saudi arabia,47,42
senegal,8,7
serbia,2,5
seychelles,49,106
sierra leone,6,4
singapore,86,207
sint maarten,1,0
slovakia,2,6
slovenia,3,2
somalia,44,91
south africa,192,255
south korea,27,53
south sudan,7,8
spain,145,220
sri lanka,33,65
sudan,5,16
suriname,1,0
svalbard and jan mayen,1,1
swaziland,1,2
sweden,29,95
switzerland,116,180
syria,4,2
taiwan,30,52
tajikistan,2,1
tanzania,36,5
thailand,55,138
togo,2,3
tonga,4,2
trinidad and tobago,40,14
tunisia,87,184
turkey,451,841
turkmenistan,4,3
turks and caicos islands,1,1
u.s. virgin islands,1,1
uganda,45,54
ukraine,7,15
united arab emirates,119,152
united kingdom,1976,3245
united states,17189,6134
uruguay,5,15
uzbekistan,1,1
vanuatu,0,1
vatican,2,1
venezuela,33,72
vietnam,19,39
western sahara,2,1
yemen,4,5
zambia,6,8
zimbabwe,13,31
