,country,0,negative,positive,neutral
0,afghanistan,26,12.0,7.0,7.0
1,albania,247,68.0,68.0,111.0
2,algeria,26,8.0,9.0,9.0
3,american samoa,16,5.0,6.0,5.0
4,andorra,410,172.0,132.0,106.0
5,angola,5,0.0,2.0,3.0
6,anguilla,4,0.0,3.0,1.0
7,antigua and barbuda,4,2.0,1.0,1.0
8,argentina,912,276.0,278.0,358.0
9,armenia,69,26.0,21.0,22.0
10,aruba,5,3.0,0.0,2.0
11,australia,7245,2882.0,2109.0,2254.0
12,austria,217,86.0,61.0,70.0
13,azerbaijan,508,193.0,138.0,177.0
14,bahamas,41,14.0,15.0,12.0
15,bahrain,28,7.0,3.0,18.0
16,bangladesh,192,21.0,117.0,54.0
17,barbados,33,11.0,5.0,17.0
18,belarus,101,43.0,41.0,17.0
19,belgium,539,190.0,158.0,191.0
20,belize,16,6.0,5.0,5.0
21,benin,15,6.0,6.0,3.0
22,bermuda,84,31.0,29.0,24.0
23,bhutan,2,0.0,1.0,1.0
24,bolivia,72,21.0,28.0,23.0
25,bosnia and herzegovina,16,6.0,3.0,7.0
26,botswana,866,361.0,274.0,231.0
27,brazil,2013,717.0,644.0,652.0
28,british virgin islands,3,1.0,2.0,0.0
29,brunei,5,2.0,0.0,3.0
30,bulgaria,117,46.0,45.0,26.0
31,burkina faso,114,39.0,40.0,35.0
32,burundi,18,5.0,8.0,5.0
33,cambodia,26,12.0,4.0,10.0
34,cameroon,1843,736.0,605.0,502.0
35,canada,18304,6720.0,5637.0,5947.0
36,cape verde,13,4.0,2.0,7.0
37,cayman islands,205,85.0,48.0,72.0
38,central african republic,31,20.0,8.0,3.0
39,chad,3,2.0,0.0,1.0
40,chile,256,83.0,71.0,102.0
41,china,690,249.0,210.0,231.0
42,christmas island,3,1.0,1.0,1.0
43,colombia,2289,917.0,717.0,655.0
44,comoros,245,88.0,80.0,77.0
45,cook islands,1,0.0,0.0,1.0
46,costa rica,101,35.0,25.0,41.0
47,croatia,10,5.0,4.0,1.0
48,cuba,61,21.0,13.0,27.0
49,curacao,3,0.0,3.0,0.0
50,cyprus,24,6.0,8.0,10.0
51,czech republic,62,24.0,22.0,16.0
52,democratic republic of the congo,10,5.0,2.0,3.0
53,denmark,314,132.0,81.0,101.0
54,djibouti,3,1.0,1.0,1.0
55,dominica,19,4.0,5.0,10.0
56,dominican republic,38,8.0,13.0,17.0
57,east timor,5,3.0,2.0,0.0
58,ecuador,55,16.0,16.0,23.0
59,egypt,262,91.0,63.0,108.0
60,el salvador,15,4.0,6.0,5.0
61,equatorial guinea,4,0.0,2.0,2.0
62,eritrea,8,1.0,5.0,2.0
63,estonia,60,13.0,11.0,36.0
64,ethiopia,59,20.0,23.0,16.0
65,falkland islands,8,2.0,4.0,2.0
66,faroe islands,2,1.0,0.0,1.0
67,fiji,617,249.0,171.0,197.0
68,finland,100,40.0,24.0,36.0
69,france,715,258.0,205.0,252.0
70,french guiana,1,0.0,0.0,1.0
71,french polynesia,1,1.0,0.0,0.0
72,french southern territories,2,1.0,1.0,0.0
73,gabon,902,284.0,291.0,327.0
74,gambia,7,5.0,2.0,0.0
75,georgia,445,195.0,131.0,119.0
76,germany,1015,373.0,288.0,354.0
77,ghana,1593,574.0,482.0,537.0
78,gibraltar,6,2.0,1.0,3.0
79,greece,172,81.0,41.0,50.0
80,greenland,6,3.0,2.0,1.0
81,grenada,8,1.0,3.0,4.0
82,guam,18,10.0,4.0,4.0
83,guatemala,17,6.0,5.0,6.0
84,guernsey,6,1.0,3.0,2.0
85,guinea,1,0.0,0.0,1.0
86,guyana,38,13.0,5.0,20.0
87,haiti,18,7.0,2.0,9.0
88,honduras,5,1.0,2.0,2.0
89,hong kong,563,220.0,140.0,203.0
90,hungary,44,16.0,13.0,15.0
91,iceland,145,70.0,35.0,40.0
92,india,4775,1785.0,1535.0,1455.0
93,indonesia,489,160.0,137.0,192.0
94,iran,56,23.0,14.0,19.0
95,iraq,53,24.0,10.0,19.0
96,ireland,1147,431.0,375.0,341.0
